,Name,Num of Dimensions,Linkage,Distance,Num of clusters,Silhouette Score,Calinski Harabasz Score,Davies-Bouldin Index,Runtime
84,COVID-19,3,complete,manhattan,21,0.43,490.66,0.74,0.01
85,COVID-19,3,complete,cosine,57,0.44,554.01,0.56,0.01
86,COVID-19,3,complete,chebyshev,10,0.46,413.51,0.73,0.0
87,COVID-19,3,complete,minkowski,11,0.51,456.92,0.73,0.02
88,COVID-19,3,complete,mahalanobis,211,0.08,40963.19,0.04,0.07
89,COVID-19,3,single,euclidean,1,,,,0.0
90,COVID-19,3,single,manhattan,1,,,,0.0
91,COVID-19,3,single,cosine,16,-0.07,22.18,0.95,0.01
92,COVID-19,3,single,chebyshev,1,,,,0.0
93,COVID-19,3,single,minkowski,1,,,,0.01
94,COVID-19,3,single,mahalanobis,210,0.09,37611.75,0.03,0.04
95,COVID-19,4,ward,euclidean,30,0.47,338.48,0.64,0.01
96,COVID-19,4,average,euclidean,9,0.46,221.68,0.76,0.0
97,COVID-19,4,average,manhattan,26,0.47,252.72,0.6,0.01
98,COVID-19,4,average,cosine,64,0.42,231.05,0.45,0.01
99,COVID-19,4,average,chebyshev,7,0.5,226.41,0.67,0.0
100,COVID-19,4,average,minkowski,9,0.46,221.68,0.76,0.01
101,COVID-19,4,average,mahalanobis,217,0.05,55440.49,0.02,0.05
102,COVID-19,4,complete,euclidean,21,0.48,285.91,0.7,0.01
103,COVID-19,4,complete,manhattan,34,0.45,297.77,0.7,0.01
104,COVID-19,4,complete,cosine,74,0.38,318.43,0.5,0.01
105,COVID-19,4,complete,chebyshev,16,0.45,259.08,0.79,0.01
106,COVID-19,4,complete,minkowski,21,0.48,285.91,0.7,0.02
107,COVID-19,4,complete,mahalanobis,217,0.05,55440.49,0.02,0.07
108,COVID-19,4,single,euclidean,1,,,,0.0
109,COVID-19,4,single,manhattan,1,,,,0.0
110,COVID-19,4,single,cosine,36,0.15,45.24,0.54,0.01
111,COVID-19,4,single,chebyshev,1,,,,0.0
112,COVID-19,4,single,minkowski,1,,,,0.0
113,COVID-19,4,single,mahalanobis,217,0.05,55440.49,0.02,0.04
114,Credit Card,2,ward,euclidean,7,0.77,9091.53,0.39,0.01
115,Credit Card,2,average,euclidean,1,,,,0.01
116,Credit Card,2,average,manhattan,1,,,,0.0
117,Credit Card,2,average,cosine,13,0.63,3054.81,0.63,0.01
118,Credit Card,2,average,chebyshev,1,,,,0.01
119,Credit Card,2,average,minkowski,1,,,,0.03
120,Credit Card,2,average,mahalanobis,201,0.45,89226.12,0.3,0.08
121,Credit Card,2,complete,euclidean,2,0.48,371.16,0.87,0.01
122,Credit Card,2,complete,manhattan,2,0.6,383.87,0.37,0.01
123,Credit Card,2,complete,cosine,18,0.6,3129.58,1.04,0.02
124,Credit Card,2,complete,chebyshev,2,0.6,383.87,0.37,0.02
125,Credit Card,2,complete,minkowski,2,0.48,371.16,0.87,0.05
126,Credit Card,2,complete,mahalanobis,227,0.41,129025.83,0.35,0.12
127,Credit Card,2,single,euclidean,1,,,,0.0
128,Credit Card,2,single,manhattan,1,,,,0.0
129,Credit Card,2,single,cosine,3,0.68,1019.88,0.56,0.01
130,Credit Card,2,single,chebyshev,1,,,,0.01
131,Credit Card,2,single,minkowski,1,,,,0.02
132,Credit Card,2,single,mahalanobis,142,0.41,6688.09,0.26,0.06
133,Credit Card,3,ward,euclidean,8,0.7,6855.11,0.43,0.01
134,Credit Card,3,average,euclidean,2,0.58,336.75,0.39,0.02
135,Credit Card,3,average,manhattan,2,0.58,336.75,0.39,0.01
136,Credit Card,3,average,cosine,25,0.59,5958.74,0.44,0.02
137,Credit Card,3,average,chebyshev,1,,,,0.01
138,Credit Card,3,average,minkowski,2,0.58,336.75,0.39,0.03
139,Credit Card,3,average,mahalanobis,349,0.33,65802.84,0.22,0.11
140,Credit Card,3,complete,euclidean,2,0.58,336.75,0.39,0.01
141,Credit Card,3,complete,manhattan,4,0.78,2902.51,0.33,0.01
142,Credit Card,3,complete,cosine,38,0.53,7598.18,0.57,0.02
143,Credit Card,3,complete,chebyshev,2,0.58,336.75,0.39,0.02
144,Credit Card,3,complete,minkowski,2,0.58,336.75,0.39,0.05
145,Credit Card,3,complete,mahalanobis,379,0.33,100213.7,0.23,0.14
